GeneSymbol	EntrezID	MedGenID	Phenotype	Grouped
SLC16A2	6567	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SLC25A22	79751	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SLC25A47	283600	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SLC2A4RG	56731	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SLC34A1	6569	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SLC35C1	55343	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SLC35G1	159371	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SLC46A3	283537	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SLC5A2	6524	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SLC5A7	60482	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SLC6A9	6536	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SLC8A3	6547	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SMUG1	23583	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SORBS1	10580	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SORCS1	114815	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SOX9	6662	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SPATA18	132671	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SPECC1L	23384	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SPOP	8405	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SSBP2	23635	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ST8SIA6	338596	C0376358	Malignant.tumor.of.prostate	prostate.cancer
STX8	9482	C0376358	Malignant.tumor.of.prostate	prostate.cancer
STXBP1	6812	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SUFU	51684	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SV2B	9899	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SYCP2	10388	C0376358	Malignant.tumor.of.prostate	prostate.cancer
SYNGR1	9145	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TAS2R20	259295	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TCEB3B	51224	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TEX14	56155	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TF	7018	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TG	7038	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TGFBR3	7049	C0376358	Malignant.tumor.of.prostate	prostate.cancer
THBS3	7059	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TMCO5A	145942	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TMEM183A	92703	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TMEM230	29058	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TMPRSS2	7113	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TNFRSF8	943	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TOPORS	10210	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TP53	7157	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TP63	8626	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TRIM28	10155	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TRIML1	339976	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TRIP12	9320	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TRPC1	7220	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TRPC4	7223	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TRPM3	80036	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TRRAP	8295	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TSHZ3	57616	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TSNAXIP1	55815	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TSPAN5	10098	C0376358	Malignant.tumor.of.prostate	prostate.cancer
TTC37	9652	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ULK2	9706	C0376358	Malignant.tumor.of.prostate	prostate.cancer
UNC79	57578	C0376358	Malignant.tumor.of.prostate	prostate.cancer
URB2	9816	C0376358	Malignant.tumor.of.prostate	prostate.cancer
USF2	7392	C0376358	Malignant.tumor.of.prostate	prostate.cancer
USH2A	7399	C0376358	Malignant.tumor.of.prostate	prostate.cancer
USP28	57646	C0376358	Malignant.tumor.of.prostate	prostate.cancer
USP48	84196	C0376358	Malignant.tumor.of.prostate	prostate.cancer
VCAN	1462	C0376358	Malignant.tumor.of.prostate	prostate.cancer
VKORC1L1	154807	C0376358	Malignant.tumor.of.prostate	prostate.cancer
WDFY3	23001	C0376358	Malignant.tumor.of.prostate	prostate.cancer
WDR49	151790	C0376358	Malignant.tumor.of.prostate	prostate.cancer
WWC3	55841	C0376358	Malignant.tumor.of.prostate	prostate.cancer
YTHDC2	64848	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZDHHC8	29801	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZKSCAN1	7586	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZMAT3	64393	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF100	163227	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF136	7695	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF184	7738	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF224	7767	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF287	57336	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF304	57343	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF419	79744	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF431	170959	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF48	197407	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF534	147658	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF560	147741	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF717	100131827	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF772	400720	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZNF776	284309	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZP4	57829	C0376358	Malignant.tumor.of.prostate	prostate.cancer
ZSCAN2	54993	C0376358	Malignant.tumor.of.prostate	prostate.cancer
BCL10	8915	C0153594	Malignant.tumor.of.testis	Malignant.tumor.of.testis
KIT	3815	C0153594	Malignant.tumor.of.testis	Malignant.tumor.of.testis
STK11	6794	C0153594	Malignant.tumor.of.testis	Malignant.tumor.of.testis
KRAS	3845	C0005684	Malignant.tumor.of.urinary.bladder	Malignant.tumor.of.urinary.bladder
MRE11A	4361	C0005684	Malignant.tumor.of.urinary.bladder	Malignant.tumor.of.urinary.bladder
RB1	5925	C0005684	Malignant.tumor.of.urinary.bladder	Malignant.tumor.of.urinary.bladder
TSC1	7248	C0005684	Malignant.tumor.of.urinary.bladder	Malignant.tumor.of.urinary.bladder
POLD1	5424	C3715192	"Mandibular.hypoplasia,.deafness,.progeroid.features,.and.lipodystrophy.syndrome"	"Mandibular.hypoplasia,.deafness,.progeroid.features,.and.lipodystrophy.syndrome"
LMNA	4000	C0432291	Mandibuloacral.dysostosis	Mandibuloacral.dysostosis
LMNA	4000	CN043412	"Mandibuloacral.dysplasia.with.type.A.lipodystrophy,.atypical"	"Mandibuloacral.dysplasia.with.type.A.lipodystrophy,.atypical"
ZMPSTE24	10269	C1837756	Mandibuloacral.dysplasia.with.type.B.lipodystrophy	Mandibuloacral.dysplasia.with.type.B.lipodystrophy
POLR1C	9533	C1855433	"Mandibulofacial.dysostosis,.Treacher.Collins.type,.autosomal.recessive"	"Mandibulofacial.dysostosis,.Treacher.Collins.type,.autosomal.recessive"
EDNRA	1909	CN230322	MANDIBULOFACIAL.DYSOSTOSIS.WITH.ALOPECIA	MANDIBULOFACIAL.DYSOSTOSIS.WITH.ALOPECIA
MBL2	4153	C1835140	Mannose-binding.protein.deficiency	Mannose-binding.protein.deficiency
ATM	472	C0334634	Mantle.cell.lymphoma	Mantle.cell.lymphoma
BCKDHA	593	C0024776	Maple.syrup.urine.disease	Maple.syrup.urine.disease
BCKDHB	594	C0024776	Maple.syrup.urine.disease	Maple.syrup.urine.disease
DBT	1629	C0024776	Maple.syrup.urine.disease	Maple.syrup.urine.disease
PPM1K	152926	C3554575	"Maple.syrup.urine.disease,.mild.variant"	"Maple.syrup.urine.disease,.mild.variant"
DLD	1738	CN043137	"Maple.syrup.urine.disease,.type.3"	"Maple.syrup.urine.disease,.type.3"
BCKDHA	593	C1855369	Maple.syrup.urine.disease.type.1A	Maple.syrup.urine.disease.type.1A
DBT	1629	C1855371	Maple.syrup.urine.disease.type.2	Maple.syrup.urine.disease.type.2
SCARF2	91179	C1833136	Marden.Walker.like.syndrome	Marden.Walker.like.syndrome
PIEZO2	63895	C0796033	Marden-Walker.syndrome	Marden-Walker.syndrome
COL3A1	1281	C0024796	Marfan's.syndrome	Marfan's.syndrome
COL5A2	1290	C0024796	Marfan's.syndrome	Marfan's.syndrome
FBN1	2200	C0024796	Marfan's.syndrome	Marfan's.syndrome
LTBP2	4053	C0024796	Marfan's.syndrome	Marfan's.syndrome
MYH11	4629	C0024796	Marfan's.syndrome	Marfan's.syndrome
TGFBR2	7048	C0024796	Marfan's.syndrome	Marfan's.syndrome
HR	55806	C2750815	Marie.Unna.hereditary.hypotrichosis.1	Marie.Unna.hereditary.hypotrichosis.1
SIL1	64374	C0024814	Marinesco-Sj??gren.syndrome	Marinesco-Sj??gren.syndrome
FREM1	158326	C1855425	Marles.Greenberg.Persaud.syndrome	Marles.Greenberg.Persaud.syndrome
COL11A1	1301	C0265235	Marshall.syndrome	Marshall.syndrome
COL11A1	1301	CN071412	Marshall/Stickler.syndrome	Marshall/Stickler.syndrome
NFIX	4784	C0265211	Marshall-Smith.syndrome	Marshall-Smith.syndrome
RAB40AL	282808	C1845285	Martin-Probst.deafness-mental.retardation.syndrome	Martin-Probst.deafness-mental.retardation.syndrome
RAB3GAP2	25782	C0796037	Martsolf.syndrome	Martsolf.syndrome
MASP2	10747	C3151085	MASP2.deficiency	MASP2.deficiency
FBN1	2200	C1858556	MASS.syndrome	MASS.syndrome
KIT	3815	C0221013	"Mast.cell.disease,.systemic"	"Mast.cell.disease,.systemic"
KIT	3815	C0023461	Mast.cell.leukemia	Mast.cell.leukemia
SPG21	51324	C1855346	Mast.syndrome	Mast.syndrome
HNF4A	3172	C1852093	"Maturity-onset.diabetes.of.the.young,.type.1"	Maturity-onset.diabetes.of.the.young
INS	3630	C3150617	"Maturity-onset.diabetes.of.the.young,.type.10"	Maturity-onset.diabetes.of.the.young
BLK	640	C3150618	"Maturity-onset.diabetes.of.the.young,.type.11"	Maturity-onset.diabetes.of.the.young
APPL1	26060	CN232143	"MATURITY-ONSET.DIABETES.OF.THE.YOUNG,.TYPE.14"	Maturity-onset.diabetes.of.the.young
GCK	2645	C1841962	"Maturity-onset.diabetes.of.the.young,.type.2"	Maturity-onset.diabetes.of.the.young
HNF1A	6927	C1838100	"Maturity-onset.diabetes.of.the.young,.type.3"	Maturity-onset.diabetes.of.the.young
PDX1	3651	C1833382	"Maturity-onset.diabetes.of.the.young,.type.4"	Maturity-onset.diabetes.of.the.young
KLF11	8462	C1864839	"Maturity-onset.diabetes.of.the.young,.type.7"	Maturity-onset.diabetes.of.the.young
CEL	1056	C1853297	"Maturity-onset.diabetes.of.the.young,.type.8"	Maturity-onset.diabetes.of.the.young
PAX4	5078	C2677132	"Maturity-onset.diabetes.of.the.young,.type.9"	Maturity-onset.diabetes.of.the.young
MYH9	4627	C0340978	May-Hegglin.anomaly	May-Hegglin.anomaly
GNAS	2778	C0242292	McCune-Albright.syndrome	McCune-Albright.syndrome
MKKS	8195	C0948368	McKusick.Kaufman.syndrome	McKusick.Kaufman.syndrome
XK	7504	C0398568	McLeod.neuroacanthocytosis.syndrome	McLeod.neuroacanthocytosis.syndrome
WT1	7490	C1837026	Meacham.syndrome	Meacham.syndrome
B9D2	80776	C3280036	"Meckel.syndrome,.type.10"	Meckel.syndrome
TMEM231	79583	C3809352	"Meckel.syndrome,.type.11"	Meckel.syndrome
B9D1	27077	C3280155	"Meckel.syndrome,.type.9"	Meckel.syndrome
KIF14	9928	CN228389	Meckel.syndrome.12	Meckel.syndrome
MKS1	54903	C3714506	Meckel.syndrome.type.1	Meckel.syndrome
TMEM216	51259	C1864148	Meckel.syndrome.type.2	Meckel.syndrome
TMEM67	91147	C1846357	Meckel.syndrome.type.3	Meckel.syndrome
CEP290	80184	C1970161	Meckel.syndrome.type.4	Meckel.syndrome
RPGRIP1L	23322	C1969052	Meckel.syndrome.type.5	Meckel.syndrome
CC2D2A	57545	C2676790	Meckel.syndrome.type.6	Meckel.syndrome
TCTN2	79867	CN077711	Meckel.syndrome.type.8	Meckel.syndrome
B9D2	80776	C0265215	Meckel-Gruber.syndrome	Meckel-Gruber.syndrome
CC2D2A	57545	C0265215	Meckel-Gruber.syndrome	Meckel-Gruber.syndrome
CEP290	80184	C0265215	Meckel-Gruber.syndrome	Meckel-Gruber.syndrome
CSPP1	79848	C0265215	Meckel-Gruber.syndrome	Meckel-Gruber.syndrome
EVC2	132884	C0265215	Meckel-Gruber.syndrome	Meckel-Gruber.syndrome
EXOC4	60412	C0265215	Meckel-Gruber.syndrome	Meckel-Gruber.syndrome
MKS1	54903	C0265215	Meckel-Gruber.syndrome	Meckel-Gruber.syndrome
TMEM231	79583	C0265215	Meckel-Gruber.syndrome	Meckel-Gruber.syndrome
TMEM237	65062	C0265215	Meckel-Gruber.syndrome	Meckel-Gruber.syndrome
TMEM67	91147	C0265215	Meckel-Gruber.syndrome	Meckel-Gruber.syndrome
GUCY2C	2984	C0270246	Meconium.ileus	Meconium.ileus
MECP2	4204	C1846058	MECP2.duplication.syndrome	MECP2.duplication.syndrome
ACADM	34	C0220710	Medium-chain.acyl-coenzyme.A.dehydrogenase.deficiency	Medium-chain.acyl-coenzyme.A.dehydrogenase.deficiency
MUC1	4582	C1868139	Medullary.cystic.kidney.disease.1	Medullary.cystic.kidney.disease.1
UMOD	7369	C1859040	Medullary.cystic.kidney.disease.2	Medullary.cystic.kidney.disease.2
RET	5979	C0238462	Medullary.thyroid.carcinoma	Medullary.thyroid.carcinoma
CTNNB1	1499	C0025149	Medulloblastoma	Medulloblastoma
PTCH2	8643	C0025149	Medulloblastoma	Medulloblastoma
SUFU	51684	C0025149	Medulloblastoma	Medulloblastoma
SUFU	51684	C0751291	"Medulloblastoma,.desmoplastic"	"Medulloblastoma,.desmoplastic"
SUFU	51684	C1334970	Medulloblastoma.with.extensive.nodularity	Medulloblastoma.with.extensive.nodularity
KRT12	3859	C0339277	Meesman's.corneal.dystrophy	Meesman's.corneal.dystrophy
KRT3	3850	C0339277	Meesman's.corneal.dystrophy	Meesman's.corneal.dystrophy
MLC1	23209	C1858854	Megalencephalic.leukoencephalopathy.with.subcortical.cysts.1	Megalencephalic.leukoencephalopathy.with.subcortical.cysts.1
HEPACAM	220296	C3151355	Megalencephalic.leukoencephalopathy.with.subcortical.cysts.2a	Megalencephalic.leukoencephalopathy.with.subcortical.cysts.2a
PIK3CA	5290	C1865285	Megalencephaly.cutis.marmorata.telangiectatica.congenita	Megalencephaly.cutis.marmorata.telangiectatica.congenita
PIK3R2	5296	C1863924	Megalencephaly.polymicrogyria-polydactyly.hydrocephalus.syndrome	Megalencephaly.polymicrogyria-polydactyly.hydrocephalus.syndrome
HERC1	8925	CN228136	"Megalencephaly.with.thick.corpus.callosum,.cerebellar.atrophy,.and.intellectual.disability"	"Megalencephaly.with.thick.corpus.callosum,.cerebellar.atrophy,.and.intellectual.disability"
AKT3	10000	CN207693	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus.syndrome.2	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus.syndrome.2
CCND2	894	CN207694	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus.syndrome.3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus.syndrome.3
SLC19A2	10560	C0342287	"Megaloblastic.anemia,.thiamine-responsive,.with.diabetes.mellitus.and.sensorineural.deafness"	"Megaloblastic.anemia,.thiamine-responsive,.with.diabetes.mellitus.and.sensorineural.deafness"
DHFR	1719	C3151205	Megaloblastic.anemia.due.to.dihydrofolate.reductase.deficiency	Megaloblastic.anemia.due.to.dihydrofolate.reductase.deficiency
AMN	81693	C1306856	Megaloblastic.anemia.due.to.inborn.errors.of.metabolism	Megaloblastic.anemia.due.to.inborn.errors.of.metabolism
CUBN	8029	C1306856	Megaloblastic.anemia.due.to.inborn.errors.of.metabolism	Megaloblastic.anemia.due.to.inborn.errors.of.metabolism
CHRDL1	91851	C0344530	Megalocornea	Megalocornea
ORC1	4998	CN030358	Meier-Gorlin.syndrome.1	Meier-Gorlin.syndrome.1
ORC4	5000	C3151097	Meier-Gorlin.syndrome.2	Meier-Gorlin.syndrome.2
ORC6	23594	C3151113	Meier-Gorlin.syndrome.3	Meier-Gorlin.syndrome.3
CDT1	81620	C3151120	Meier-Gorlin.syndrome.4	Meier-Gorlin.syndrome.4
CDC6	990	C3151126	Meier-Gorlin.syndrome.5	Meier-Gorlin.syndrome.5
POT1	25913	CN189144	"Melanoma,.cutaneous.malignant,.susceptibility.to,.10"	"Melanoma,.cutaneous.malignant,.susceptibility.to,.10"
CDKN2A	1029	C1835042	Melanoma.astrocytoma.syndrome	Melanoma.astrocytoma.syndrome
CDKN2A	1029	C1838547	Melanoma-pancreatic.cancer.syndrome	Melanoma-pancreatic.cancer.syndrome
EYA1	2138	C0265234	Melnick-Fraser.syndrome	Melnick-Fraser.syndrome
SIX1	6495	C0265234	Melnick-Fraser.syndrome	Melnick-Fraser.syndrome
FLNA	2316	C0025237	Melnick-Needles.syndrome	Melnick-Needles.syndrome
WWC1	23286	C3810089	Memory.quantitative.trait.locus	Memory.quantitative.trait.locus
RET	5979	CN076152	MEN2.phenotype:.Unclassified	MEN2.phenotype:.Unclassified
RET	5979	CN076151	MEN2.phenotype:.Unknown	MEN2.phenotype:.Unknown
NF2	4771	C0025286	Meningioma	Meningioma
PDGFB	5155	C0025286	Meningioma	Meningioma
PTEN	5728	C0025286	Meningioma	Meningioma
SMARCE1	6605	C1333989	"Meningioma,.familial"	"Meningioma,.familial"
SUFU	51684	C1333989	"Meningioma,.familial"	"Meningioma,.familial"
ATP7A	538	C0022716	Menkes.kinky-hair.syndrome	Menkes.kinky-hair.syndrome
MCM8	84515	C2752067	"Menopause,.natural,.age.at,.quantitative.trait.locus.3"	"Menopause,.natural,.age.at,.quantitative.trait.locus.3"
SOBP	55084	C3150924	"Mental.retardation,.anterior.maxillary.protrusion,.and.strabismus"	Mental.retardation
MBD5	55777	C1969562	"Mental.retardation,.autosomal.dominant.1"	Mental.retardation
CACNG2	10369	C3280284	"Mental.retardation,.autosomal.dominant.10"	Mental.retardation
EPB41L1	2036	C3280285	"Mental.retardation,.autosomal.dominant.11"	Mental.retardation
ARID1B	57492	C3281201	"Mental.retardation,.autosomal.dominant.12"	Mental.retardation
DYNC1H1	1778	C3281202	"Mental.retardation,.autosomal.dominant.13"	Mental.retardation
ARID1A	8289	C3553247	"Mental.retardation,.autosomal.dominant.14"	Mental.retardation
SMARCB1	6598	C3553248	"Mental.retardation,.autosomal.dominant.15"	Mental.retardation
SMARCA4	6597	C3553249	"Mental.retardation,.autosomal.dominant.16"	Mental.retardation
PACS1	55690	C3554343	"Mental.retardation,.autosomal.dominant.17"	Mental.retardation
GATAD2B	57459	C3554448	"Mental.retardation,.autosomal.dominant.18"	Mental.retardation
CTNNB1	1499	C3554449	"Mental.retardation,.autosomal.dominant.19"	Mental.retardation
CTCF	10664	C3809686	"Mental.retardation,.autosomal.dominant.21"	Mental.retardation
SETD5	55209	C3810406	"Mental.retardation,.autosomal.dominant.23"	Mental.retardation
DEAF1	10522	CN219639	"Mental.retardation,.autosomal.dominant.24"	Mental.retardation
AUTS2	26053	CN188274	"Mental.retardation,.autosomal.dominant.26"	Mental.retardation
SOX11	6664	CN189149	"Mental.retardation,.autosomal.dominant.27"	Mental.retardation
ADNP	23394	CN189714	"Mental.retardation,.autosomal.dominant.28"	Mental.retardation
SETBP1	26040	CN220547	"Mental.retardation,.autosomal.dominant.29"	Mental.retardation
CDH15	1013	C2675488	"Mental.retardation,.autosomal.dominant.3"	Mental.retardation
ZMYND11	10771	CN220924	"Mental.retardation,.autosomal.dominant.30"	Mental.retardation
PURA	5813	CN224984	"Mental.retardation,.autosomal.dominant.31"	Mental.retardation
DPP6	1804	CN229530	"MENTAL.RETARDATION,.AUTOSOMAL.DOMINANT.33"	Mental.retardation
COL4A3BP	10087	CN230269	"MENTAL.RETARDATION,.AUTOSOMAL.DOMINANT.34"	Mental.retardation
PPP2R5D	5528	CN230312	"MENTAL.RETARDATION,.AUTOSOMAL.DOMINANT.35"	Mental.retardation
PPP2R1A	5518	CN230319	"MENTAL.RETARDATION,.AUTOSOMAL.DOMINANT.36"	Mental.retardation
POGZ	23126	CN230318	"MENTAL.RETARDATION,.AUTOSOMAL.DOMINANT.37"	Mental.retardation
EEF1A2	1917	CN231146	"MENTAL.RETARDATION,.AUTOSOMAL.DOMINANT.38"	Mental.retardation
MYT1L	23040	CN232386	"MENTAL.RETARDATION,.AUTOSOMAL.DOMINANT.39"	Mental.retardation
KIRREL3	84623	C2675487	"Mental.retardation,.autosomal.dominant.4"	Mental.retardation
SYNGAP1	8831	C2675473	"Mental.retardation,.autosomal.dominant.5"	Mental.retardation
GRIN2B	2904	C3151411	"Mental.retardation,.autosomal.dominant.6"	Mental.retardation
DYRK1A	1859	C3279839	"Mental.retardation,.autosomal.dominant.7"	Mental.retardation
GRIN1	2902	C3280282	"Mental.retardation,.autosomal.dominant.8"	Mental.retardation
KIF1A	547	C3280283	"Mental.retardation,.autosomal.dominant.9"	Mental.retardation
PRSS12	8492	C1855304	"Mental.retardation,.autosomal.recessive.1"	Mental.retardation
ST3GAL3	6487	C1970200	"Mental.retardation,.autosomal.recessive.12"	Mental.retardation
TRAPPC9	83696	C2750791	"Mental.retardation,.autosomal.recessive.13"	Mental.retardation
TECR	9524	C3151462	"Mental.retardation,.autosomal.recessive.14"	Mental.retardation
MAN1B1	11253	C3280127	"Mental.retardation,.autosomal.recessive.15"	Mental.retardation
MED23	9439	C3280265	"Mental.retardation,.autosomal.recessive.18"	Mental.retardation
CRBN	51185	C1843942	"Mental.retardation,.autosomal.recessive.2"	Mental.retardation
CC2D1A	54862	C1838023	"Mental.retardation,.autosomal.recessive.3"	Mental.retardation
CRADD	8738	C3281044	"Mental.retardation,.autosomal.recessive.34"	Mental.retardation
ADAT3	113179	C3809039	"Mental.retardation,.autosomal.recessive.36"	Mental.retardation
ANK3	288	C3809672	"Mental.retardation,.autosomal.recessive.37"	Mental.retardation
HERC2	8924	C3809753	"Mental.retardation,.autosomal.recessive.38"	Mental.retardation
TTI2	80185	C3809853	"Mental.retardation,.autosomal.recessive.39"	Mental.retardation
TAF2	6873	C3810080	"Mental.retardation,.autosomal.recessive.40"	Mental.retardation
KPTN	11133	C3810225	"Mental.retardation,.autosomal.recessive.41"	Mental.retardation
PGAP1	80055	CN187210	"Mental.retardation,.autosomal.recessive.42"	Mental.retardation
METTL23	124512	CN207815	"Mental.retardation,.autosomal.recessive.44"	Mental.retardation
FBXO31	79791	CN219207	"Mental.retardation,.autosomal.recessive.45"	Mental.retardation
NDST1	3340	CN221666	"Mental.retardation,.autosomal.recessive.46"	Mental.retardation
FMN2	56776	CN225186	"Mental.retardation,.autosomal.recessive.47"	Mental.retardation
SLC6A17	388662	CN228596	"MENTAL.RETARDATION,.AUTOSOMAL.RECESSIVE.48"	Mental.retardation
GPT2	84706	CN228786	"MENTAL.RETARDATION,.AUTOSOMAL.RECESSIVE.49"	Mental.retardation
NSUN2	54888	C1970199	"Mental.retardation,.autosomal.recessive.5"	Mental.retardation
GRIK2	2898	C1970198	"Mental.retardation,.autosomal.recessive.6"	Mental.retardation
TUSC3	7991	C1970197	"Mental.retardation,.autosomal.recessive.7"	Mental.retardation
DIP2B	57609	C1969893	"Mental.retardation,.fra12a.type"	Mental.retardation
MEF2C	4208	C3150700	"Mental.retardation,.stereotypic.movements,.epilepsy,.and/or.cerebral.malformations"	Mental.retardation
KDM5C	8242	C1845243	"Mental.retardation,.syndromic,.Claes-Jensen.type,.X-linked"	Mental.retardation
UPF3B	65109	C1970822	"Mental.retardation,.syndromic.14,.X-linked"	Mental.retardation
ARX	170302	C0796244	"Mental.retardation,.with.or.without.seizures,.ARX-related,.X-linked"	Mental.retardation
IQSEC2	23096	C2931498	"Mental.retardation,.X-linked,.nonspecific"	Mental.retardation
ATP6AP2	10159	C1845543	"Mental.retardation,.X-linked,.syndromic,.Hedera.type"	Mental.retardation
ZDHHC9	51114	C2749033	"Mental.retardation,.X-linked,.syndromic,.raymond.type"	Mental.retardation
HUWE1	10075	C2678046	"Mental.retardation,.X-linked,.syndromic,.turner.type"	Mental.retardation
GRIA3	2892	C2678051	"Mental.retardation,.X-linked,.syndromic,.wu.type"	Mental.retardation
HSD17B10	3028	C1846168	"Mental.retardation,.X-linked,.syndromic.10"	Mental.retardation
MECP2	4204	C1968550	"Mental.retardation,.X-linked,.syndromic.13"	Mental.retardation
CLIC2	1193	C3550913	"Mental.retardation,.X-linked,.syndromic.32"	Mental.retardation
SOX3	6658	C1848068	"Mental.retardation,.X-linked,.with.isolated.growth.hormone.deficiency"	Mental.retardation
KIF4A	24137	CN197010	"Mental.retardation,.X-linked.100"	Mental.retardation
MID2	11043	CN207618	"Mental.retardation,.X-linked.101"	Mental.retardation
RPS6KA3	6197	C0796225	"Mental.retardation,.X-linked.19"	Mental.retardation
ZNF81	347344	C1845333	"Mental.retardation,.X-linked.45"	Mental.retardation
RAB39B	116442	C1846038	"Mental.retardation,.X-linked.72"	Mental.retardation
BRWD3	254065	C1970841	"Mental.retardation,.X-linked.93"	Mental.retardation
SYP	6855	C2749021	"Mental.retardation,.X-linked.96"	Mental.retardation
KIAA2022	340533	C3806730	"Mental.retardation,.X-linked.98"	Mental.retardation
USP9X	8239	C3806746	"Mental.retardation,.X-linked.99"	Mental.retardation
IQSEC2	23096	C0796224	"Mental.retardation.18,.X-linked"	Mental.retardation
IL1RAPL1	11141	C0796227	"Mental.retardation.21,.X-linked"	Mental.retardation
HCFC1	3054	C0796208	"Mental.retardation.3,.X-linked"	Mental.retardation
PAK3	5063	C0796237	"Mental.retardation.30,.X-linked"	Mental.retardation
ARHGEF6	9459	C1845526	"Mental.retardation.46,.X-linked"	Mental.retardation
TSPAN7	7102	C1846174	"Mental.retardation.58,.X-linked"	Mental.retardation
ACSL4	2182	C1845672	"Mental.retardation.63,.X-linked"	Mental.retardation
FTSJ1	24140	C0796215	"Mental.retardation.9,.X-linked"	Mental.retardation
CASK	8573	C2677903	Mental.retardation.and.microcephaly.with.pontine.and.cerebellar.hypoplasia	Mental.retardation
FOXP1	27086	C3150923	Mental.retardation.with.language.impairment.and.autistic.features	Mental.retardation
AP1S2	8905	C0796254	Mental.retardation.X-linked.syndromic.5	Mental.retardation
OPHN1	4983	C1845366	Mental.retardation.X-linked.with.cerebellar.hypoplasia.and.distinctive.facial.appearance	Mental.retardation
CYP2C19	1557	C1836024	"Mephenytoin,.poor.metabolism.of"	"Mephenytoin,.poor.metabolism.of"
GSN	2934	C1622345	Meretoja.syndrome	Meretoja.syndrome
MT-TP	4571	CN069287	MERFF.syndrome	MERFF.syndrome
LAMA2	3908	C1263858	Merosin.deficient.congenital.muscular.dystrophy	Merosin.deficient.congenital.muscular.dystrophy
